,tickers,sectors
215,GS,Financials
216,GT,Consumer Discretionary
217,GWW,Industrials
218,HAL,Energy
219,HBI,Consumer Discretionary
220,HOG,Consumer Discretionary
221,HAR,Consumer Discretionary
222,HRS,Information Technology
223,HIG,Financials
224,HAS,Consumer Discretionary
225,HCA,Health Care
226,HCP,Real Estate
227,HP,Energy
228,HES,Energy
229,HPE,Information Technology
230,HOLX,Health Care
231,HD,Consumer Discretionary
232,HON,Industrials
233,HRL,Consumer Staples
234,HST,Real Estate
235,HPQ,Information Technology
236,HUM,Health Care
237,HBAN,Financials
238,IDXX,Health Care
239,ITW,Industrials
240,ILMN,Health Care
241,IR,Industrials
242,INTC,Information Technology
243,ICE,Financials
244,IBM,Information Technology
245,INCY,Health Care
246,IP,Materials
247,IPG,Consumer Discretionary
248,IFF,Materials
249,INTU,Information Technology
250,ISRG,Health Care
251,IVZ,Financials
252,IRM,Real Estate
253,JEC,Industrials
254,JBHT,Industrials
255,SJM,Consumer Staples
256,JNJ,Health Care
257,JCI,Industrials
258,JPM,Financials
259,JNPR,Information Technology
260,KSU,Industrials
261,K,Consumer Staples
262,KEY,Financials
263,KMB,Consumer Staples
264,KIM,Real Estate
265,KMI,Energy
266,KLAC,Information Technology
267,KSS,Consumer Discretionary
268,KHC,Consumer Staples
269,KR,Consumer Staples
270,LB,Consumer Discretionary
271,LLL,Industrials
272,LH,Health Care
273,LRCX,Information Technology
274,LEG,Consumer Discretionary
275,LEN,Consumer Discretionary
276,LVLT,Telecommunications Services
277,LUK,Financials
278,LLY,Health Care
279,LNC,Financials
280,LLTC,Information Technology
281,LKQ,Consumer Discretionary
282,LMT,Industrials
283,L,Financials
284,LOW,Consumer Discretionary
285,LYB,Materials
286,MTB,Financials
287,MAC,Real Estate
288,M,Consumer Discretionary
289,MNK,Health Care
290,MRO,Energy
291,MPC,Energy
292,MAR,Consumer Discretionary
293,MMC,Financials
294,MLM,Materials
295,MAS,Industrials
296,MA,Information Technology
297,MAT,Consumer Discretionary
298,MKC,Consumer Staples
299,MCD,Consumer Discretionary
300,MCK,Health Care
301,MJN,Consumer Staples
302,MDT,Health Care
303,MRK,Health Care
304,MET,Financials
305,MTD,Health Care
306,KORS,Consumer Discretionary
307,MCHP,Information Technology
308,MU,Information Technology
309,MSFT,Information Technology
310,MAA,Real Estate
311,MHK,Consumer Discretionary
312,TAP,Consumer Staples
313,MDLZ,Consumer Staples
314,MON,Materials
315,MNST,Consumer Staples
316,MCO,Financials
317,MS,Financials
318,MOS,Materials
319,MSI,Information Technology
320,MUR,Energy
321,MYL,Health Care
322,NDAQ,Financials
323,NOV,Energy
324,NAVI,Financials
325,NTAP,Information Technology
326,NFLX,Information Technology
