id,0,degree,modularity_class,eigencentrality,clustering
ORCL,Information Technology,9,23,0.1015252504437278,0.6111111111111112
TXT,Industrials,2,25,0.014232034366130948,0.0
PXD,Energy,18,19,0.02341853992236357,0.9803921568627451
ESS,Real Estate,6,1,0.0033757764701036145,0.9333333333333333
CNP,Utilities,20,22,0.02942175052046386,0.9052631578947369
HON,Industrials,5,25,0.05499401655982191,0.8
ICE,Financials,1,2,2.2986037226050253E-4,0.0
AN,Consumer Discretionary,3,25,0.011006719246472608,0.3333333333333333
ABBV,Health Care,2,7,6.201706835603261E-4,1.0
ROK,Industrials,51,25,0.6155635978504775,0.6047058823529412
CNC,Health Care,1,4,2.2986037226050253E-4,0.0
TROW,Financials,71,5,0.9131351240506143,0.6370221327967807
PFE,Health Care,2,7,5.634179146338834E-4,1.0
EQIX,Real Estate,1,1,3.82778198578494E-4,0.0
PFG,Financials,82,5,0.9475863980109729,0.5076784101174345
SPGI,Financials,40,23,0.46644228445472996,0.5538461538461539
