id,0,degree,modularity_class,clustering,eigencentrality
EXPD,Industrials,72,10,0.9315336463223787,0.38819028228414526
UNP,Industrials,182,5,0.6942505008803351,0.8424874539090567
UDR,Real Estate,131,5,0.8190252495596007,0.6552145472892293
ETFC,Financials,38,10,0.9701280227596017,0.21533410328197006
DUK,Utilities,29,7,0.8940886699507389,0.07605520389089596
XL,Financials,169,5,0.6980135249366018,0.7844938574640828
R,Industrials,148,5,0.7779003493289207,0.7226217222893482
CLX,Consumer Staples,1,6,0.0,0.004071768658480766
CMA,Financials,39,13,0.8272604588394062,0.1526851976826109
FRT,Real Estate,183,5,0.6896655257310995,0.844836734610946
UNH,Health Care,4,3,1.0,3.016490736347619E-4
BBT,Financials,43,13,0.8338870431893688,0.17091369175767868
UNM,Financials,205,13,0.5928263988522238,0.8789625058394925
OMC,Consumer Discretionary,220,8,0.5558322955583229,0.9181645173516816
KO,Consumer Staples,10,7,0.6666666666666666,0.04098817396807251
VMC,Materials,30,6,0.8827586206896552,0.16385277983208257
ARNC,Industrials,83,6,0.9221275345283574,0.44577054781569003
EXPE,Consumer Discretionary,1,8,0.0,0.006102034073132554
KEY,Financials,29,13,0.8817733990147784,0.10908503104329179
AEE,Utilities,33,7,0.8825757575757576,0.10484202491858591
KLAC,Information Technology,139,8,0.764258158690439,0.6719256823943567
BF-B,Consumer Staples,5,7,1.0,0.027857001604717012
SWK,Consumer Discretionary,181,5,0.683609576427256,0.8315583096524612
PNR,Industrials,199,5,0.633267346835186,0.882209471263863
WYNN,Consumer Discretionary,92,5,0.9125656951743908,0.4910766040200649
SWN,Energy,43,6,0.8471760797342193,0.18556660580956585
AAL,Industrials,2,10,1.0,1.5564376830186488E-4
DD,Materials,217,7,0.5685697217955282,0.9158045439973967
DE,Industrials,145,8,0.7759578544061303,0.7080580695345216
AAP,Consumer Discretionary,1,4,0.0,7.094838649834686E-5
WBA,Consumer Staples,1,10,0.0,4.535515559939581E-4
TGT,Consumer Discretionary,19,5,0.6491228070175439,0.07407674915946169
HBAN,Financials,27,13,0.8148148148148148,0.09657484870921243
PCG,Utilities,18,7,1.0,0.03450724674591779
DHI,Consumer Discretionary,11,5,0.9454545454545454,0.04404382722470034
M,Consumer Discretionary,27,5,0.8660968660968661,0.12027285198818938
MLM,Materials,10,10,0.9555555555555556,0.052092063245186615
INTU,Information Technology,2,10,0.0,0.006138128572934298
SLG,Real Estate,145,5,0.8128352490421455,0.72356287395017
DHR,Industrials,227,10,0.5527269892012008,0.9477342920222525
SLB,Energy,131,6,0.790604815032296,0.6432241542213871
AJG,Financials,18,10,1.0,0.1091434663726596
MCO,Financials,2,13,0.0,0.0031913687949574852
JPM,Financials,103,13,0.7150199885779555,0.465314403315837
MCD,Consumer Discretionary,10,10,1.0,0.05987001503704538
NRG,Utilities,3,6,1.0,0.017180292214397475
VTR,Real Estate,152,5,0.8002788428023702,0.7526889628014809
AXP,Financials,133,13,0.7953975848712691,0.6553488131893301
EXC,Utilities,30,7,0.8873563218390804,0.08730111882349947
WM,Industrials,207,7,0.5798039491581071,0.8768978494222615
SRCL,Industrials,10,10,0.9777777777777777,0.056793601708268394
WU,Information Technology,9,5,1.0,0.05213905589785928
EXR,Real Estate,96,5,0.9223684210526316,0.515656838366397
WY,Real Estate,110,5,0.8785654712260217,0.5770505417746806
VNO,Real Estate,204,5,0.6136868540519657,0.8915518199458884
SPLS,Consumer Discretionary,25,10,0.8066666666666666,0.1258775836377225
HST,Real Estate,237,13,0.5027175856397054,0.9425817458750895
RIG,Energy,1,6,0.0,7.691779046343087E-5
CTSH,Information Technology,70,10,0.9552795031055901,0.39063193901629756
HAL,Energy,33,6,0.8446969696969697,0.146307373926772
FITB,Financials,50,13,0.8277551020408164,0.2261030626772366
EQR,Real Estate,178,5,0.6805053005776678,0.813182153388044
EQT,Energy,102,6,0.712677150067948,0.45655288764055446
GPC,Consumer Discretionary,85,10,0.9425770308123249,0.469574547717994
XLNX,Information Technology,18,8,0.8562091503267973,0.06727650731916902
CTXS,Information Technology,2,8,0.0,3.838595407912778E-4
GPS,Consumer Discretionary,3,5,1.0,0.003474307145849098
PHM,Consumer Discretionary,21,13,0.8761904761904762,0.10054717592353338
SYK,Health Care,15,10,0.6,0.05072916254145834
LEG,Industrials,136,5,0.8089324618736383,0.6762900038193119
KIM,Real Estate,166,5,0.7463307776560789,0.7927808260293477
SYY,Consumer Staples,43,7,0.9889258028792912,0.2533008275898433
AEP,Utilities,58,7,0.7610405323653963,0.24385027802778125
AES,Utilities,137,6,0.7464577071704595,0.6553228731046549
AET,Health Care,4,3,1.0,3.016490736347619E-4
EMN,Materials,187,5,0.6750043125754701,0.8548096005478684
AMAT,Information Technology,95,8,0.7787234042553192,0.4633933236902425
SWKS,Information Technology,32,8,0.8830645161290323,0.15184076173671648
